,County,2005,2006,2007,2008    ,2009,2010,2011,2012,2013,2014,State
1511,DeKalb County,5.9     ,5.4     ,5.2,6.3,9.5,8.8,8.0,6.0,6.0,5.4,MO
1512,Dent County,6.3     ,5.9     ,6.7,7.7,9.5,10.3,9.6,8.1,7.0,6.6,MO
1513,Douglas County,6.1     ,5.3     ,5.9,6.8,8.9,12.1,10.2,9.8,9.2,7.5,MO
1514,Dunklin County,7.2     ,7.0     ,8.0,7.9,10.7,13.5,12.1,10.3,9.6,8.7,MO
1515,Franklin County,5.8     ,5.3     ,5.6,7.5,12.0,11.3,9.4,7.9,7.2,6.4,MO
1516,Gasconade County,5.6     ,5.4     ,5.5,7.6,11.6,10.4,8.8,7.1,6.3,5.3,MO
1517,Gentry County,4.4     ,4.0     ,4.1,4.5,6.3,7.9,7.0,5.3,5.2,5.6,MO
1518,Greene County,4.2     ,3.8     ,4.0,5.1,8.4,8.3,7.3,5.9,5.5,4.8,MO
1519,Grundy County,5.2     ,4.6     ,4.8,5.6,7.7,8.0,7.1,6.5,5.8,5.3,MO
1520,Harrison County,5.3     ,4.6     ,4.6,4.9,7.7,9.5,8.5,7.3,7.3,6.4,MO
1521,Henry County,6.1     ,5.1     ,5.6,6.7,9.5,10.8,9.7,7.8,7.1,6.4,MO
1522,Hickory County,7.8     ,6.9     ,7.5,9.7,13.4,12.6,11.7,12.0,9.9,8.3,MO
1523,Holt County,4.5     ,4.0     ,5.0,5.0,7.1,8.0,7.1,5.3,5.4,4.9,MO
1524,Howard County,4.5     ,4.4     ,4.5,6.0,8.4,8.7,8.2,6.8,6.4,5.4,MO
1525,Howell County,4.7     ,4.2     ,4.7,5.7,9.7,10.8,9.5,8.1,7.6,7.0,MO
1526,Iron County,7.0     ,5.4     ,5.3,5.7,8.8,16.7,14.1,11.3,10.7,9.5,MO
1527,Jackson County,6.4     ,5.7     ,5.9,6.9,10.2,10.7,9.5,7.8,7.7,7.1,MO
1528,Jasper County,4.8     ,4.3     ,4.5,5.2,8.2,8.5,7.6,5.9,5.8,5.3,MO
1529,Jefferson County,5.4     ,4.9     ,5.2,6.9,10.6,10.4,8.8,7.2,6.8,6.3,MO
1530,Johnson County,4.6     ,4.0     ,4.6,5.3,8.5,10.0,9.1,7.6,7.1,6.3,MO
1531,Knox County,3.9     ,3.9     ,3.8,4.7,6.0,7.7,7.1,5.6,5.4,4.5,MO
1532,Laclede County,5.5     ,4.7     ,5.6,7.6,12.5,12.4,11.3,9.3,9.6,8.0,MO
1533,Lafayette County,5.5     ,4.8     ,5.2,6.1,9.7,9.8,9.1,7.2,6.5,5.9,MO
1534,Lawrence County,4.6     ,3.9     ,4.0,4.8,8.3,9.3,8.3,6.5,6.6,5.9,MO
1535,Lewis County,4.5     ,3.7     ,4.0,4.8,8.3,8.5,7.0,5.5,5.5,5.2,MO
1536,Lincoln County,5.5     ,5.3     ,5.7,7.8,11.8,11.8,10.1,8.3,7.6,6.5,MO
1537,Linn County,8.0     ,6.5     ,6.4,7.0,9.5,12.6,11.9,9.3,8.6,8.0,MO
1538,Livingston County,4.8     ,4.3     ,4.4,5.2,7.7,8.2,7.6,6.2,5.6,5.0,MO
1539,McDonald County,4.3     ,3.9     ,4.1,4.9,7.8,9.2,8.4,6.7,6.4,5.7,MO
1540,Macon County,4.9     ,4.8     ,5.0,6.0,8.4,9.3,8.2,6.7,6.5,6.1,MO
1541,Madison County,6.3     ,5.3     ,5.7,6.1,10.3,12.2,10.4,8.1,7.4,6.7,MO
1542,Maries County,4.7     ,4.5     ,5.2,6.3,8.1,9.4,8.3,7.2,6.5,6.1,MO
1543,Marion County,5.2     ,4.9     ,5.3,5.6,9.4,9.1,7.5,6.1,6.0,5.5,MO
1544,Mercer County,4.3     ,4.3     ,4.1,4.8,7.3,8.4,6.7,5.1,5.4,5.0,MO
1545,Miller County,5.7     ,5.2     ,5.3,6.7,11.7,12.9,11.5,9.1,8.7,7.6,MO
1546,Mississippi County,7.2     ,6.4     ,6.6,7.3,8.7,9.7,9.7,8.0,7.9,7.3,MO
1547,Moniteau County,5.1     ,4.6     ,4.6,5.5,8.2,8.5,7.7,6.6,6.4,5.9,MO
1548,Monroe County,5.5     ,5.4     ,5.7,7.0,12.9,12.3,9.9,7.7,7.4,6.6,MO
1549,Montgomery County,5.7     ,5.4     ,5.5,7.2,11.8,11.1,9.9,7.9,7.2,6.0,MO
1550,Morgan County,6.4     ,6.6     ,6.2,7.5,12.6,14.5,12.7,10.0,9.3,8.5,MO
1551,New Madrid County,6.8     ,6.4     ,6.9,7.1,9.3,10.0,9.7,8.1,7.8,7.3,MO
1552,Newton County,5.0     ,4.5     ,4.7,5.5,8.1,9.0,8.0,6.2,6.0,5.3,MO
1553,Nodaway County,3.7     ,3.4     ,3.7,4.2,6.4,7.0,6.6,5.4,6.2,6.5,MO
1554,Oregon County,5.3     ,4.9     ,5.2,5.9,9.2,11.1,9.8,7.9,7.8,7.4,MO
1555,Osage County,4.7     ,4.6     ,4.7,6.2,6.8,6.9,6.2,5.1,5.0,4.6,MO
1556,Ozark County,5.4     ,4.7     ,5.2,6.1,8.1,11.8,11.8,10.0,9.9,8.7,MO
1557,Pemiscot County,7.6     ,6.6     ,6.6,7.4,11.8,12.5,11.6,9.5,10.0,9.0,MO
1558,Perry County,4.0     ,3.5     ,3.9,4.6,7.1,7.3,6.7,5.1,5.4,5.4,MO
1559,Pettis County,5.5     ,5.1     ,5.2,6.2,8.7,9.3,8.2,7.1,6.6,6.1,MO
1560,Phelps County,4.5     ,4.3     ,4.9,5.9,7.3,8.8,8.2,6.9,6.8,6.2,MO
1561,Pike County,5.3     ,5.1     ,5.0,5.7,9.1,9.8,8.3,6.9,6.5,5.7,MO
1562,Platte County,4.5     ,4.0     ,3.9,4.8,7.7,7.7,6.9,5.5,5.7,5.1,MO
1563,Polk County,4.9     ,4.4     ,4.8,6.1,10.0,10.3,9.3,7.7,7.1,6.2,MO
1564,Pulaski County,5.3     ,4.8     ,5.2,5.7,7.1,8.8,8.7,8.2,7.9,7.3,MO
1565,Putnam County,4.7     ,4.9     ,5.5,5.4,7.3,8.0,6.8,6.0,5.9,4.9,MO
1566,Ralls County,5.5     ,4.9     ,4.9,5.3,8.8,8.8,7.5,6.4,5.8,5.3,MO
1567,Randolph County,5.1     ,4.9     ,5.4,6.1,10.6,11.5,10.4,8.6,7.9,6.8,MO
1568,Ray County,5.4     ,5.2     ,5.3,6.4,10.0,10.3,9.3,8.3,7.8,6.8,MO
1569,Reynolds County,7.8     ,6.8     ,6.9,7.3,13.1,15.1,13.2,11.0,9.3,8.2,MO
1570,Ripley County,6.0     ,5.7     ,6.7,6.7,9.4,12.9,11.9,10.3,8.9,8.0,MO
1571,St. Charles County,4.2     ,3.9     ,4.1,5.5,8.5,8.2,6.9,5.6,5.3,4.8,MO
1572,St. Clair County,5.9     ,5.6     ,6.5,7.1,9.8,11.2,10.1,8.0,7.7,7.7,MO
1573,Ste. Genevieve County,5.3     ,4.6     ,4.7,5.9,9.4,10.3,9.2,7.3,7.2,6.6,MO
1574,St. Francois County,6.6     ,5.9     ,5.8,7.1,11.0,12.3,10.8,8.9,8.5,7.5,MO
1575,St. Louis County,5.2     ,4.7     ,5.0,6.0,9.0,8.9,7.9,6.5,6.2,5.8,MO
1576,Saline County,4.9     ,4.5     ,5.1,5.7,7.8,8.9,8.0,6.6,6.0,5.6,MO
1577,Schuyler County,5.9     ,5.2     ,5.7,6.4,8.0,10.1,8.8,7.1,7.5,7.0,MO
1578,Scotland County,3.9     ,4.3     ,4.8,6.6,7.9,8.1,6.6,5.0,5.3,4.8,MO
1579,Scott County,5.7     ,5.3     ,5.8,6.6,8.9,9.7,8.8,7.0,7.1,6.6,MO
1580,Shannon County,7.3     ,6.5     ,6.9,7.9,12.2,14.8,13.2,11.1,9.5,9.4,MO
1581,Shelby County,5.2     ,5.2     ,5.0,5.3,8.8,8.6,7.2,6.1,5.6,6.0,MO
1582,Stoddard County,5.8     ,5.6     ,6.4,7.5,9.5,10.4,10.0,8.6,8.5,7.6,MO
1583,Stone County,8.0     ,6.7     ,6.4,7.8,12.1,13.8,12.6,11.2,10.4,9.5,MO
1584,Sullivan County,5.6     ,5.5     ,6.2,5.8,6.8,8.8,8.3,6.8,6.5,6.5,MO
1585,Taney County,8.7     ,6.9     ,6.8,7.7,12.0,13.9,13.2,11.2,10.4,9.6,MO
1586,Texas County,6.4     ,5.4     ,5.7,6.9,9.2,11.0,9.7,8.1,8.0,7.8,MO
1587,Vernon County,4.8     ,4.4     ,4.9,5.6,7.8,8.3,7.2,5.9,5.9,5.6,MO
1588,Warren County,5.4     ,5.3     ,5.4,7.5,11.3,11.0,9.1,7.5,6.9,6.2,MO
1589,Washington County,8.7     ,8.0     ,8.3,10.2,14.2,14.3,12.2,10.6,9.7,8.5,MO
1590,Wayne County,6.7     ,6.3     ,6.9,6.8,9.1,10.8,10.1,9.0,8.1,7.3,MO
1591,Webster County,4.7     ,4.2     ,4.8,5.7,9.7,10.5,8.9,7.1,6.7,6.0,MO
1592,Worth County,4.0     ,3.9     ,4.6,5.5,7.5,6.8,5.7,4.2,4.1,3.9,MO
1593,Wright County,6.3     ,5.1     ,6.0,7.2,10.2,11.9,9.8,8.4,8.2,7.1,MO
1594,Saint Louis County,8.1     ,6.9     ,7.1,7.8,11.7,11.5,10.4,8.6,8.5,7.7,MO
1595,Beaverhead County,3.6     ,3.0     ,2.8,4.1,5.0,5.9,6.1,5.4,4.7,3.7,MT
1596,Big Horn County,9.1     ,6.9     ,6.7,8.3,9.5,11.0,12.0,12.1,14.0,10.0,MT
1597,Blaine County,4.5     ,3.4     ,3.8,4.5,5.1,6.7,7.1,6.3,6.1,5.8,MT
1598,Broadwater County,4.1     ,3.3     ,3.2,5.6,7.7,7.4,7.3,7.5,6.5,5.5,MT
1599,Carbon County,3.8     ,3.0     ,2.9,4.3,5.7,6.4,5.8,4.7,4.5,3.9,MT
1600,Carter County,4.0     ,3.6     ,3.1,3.3,3.8,3.9,3.9,3.2,3.1,3.4,MT
1601,Cascade County,4.3     ,3.4     ,3.5,4.7,5.4,6.4,6.4,5.6,5.1,4.4,MT
1602,Chouteau County,3.7     ,2.8     ,3.1,3.6,4.0,4.4,4.6,3.9,3.7,3.2,MT
1603,Custer County,4.0     ,3.2     ,3.4,4.2,4.9,4.5,4.1,3.6,3.4,3.3,MT
1604,Daniels County,3.8     ,3.2     ,2.7,3.7,4.1,3.5,3.5,3.2,3.2,3.1,MT
1605,Dawson County,3.7     ,2.9     ,2.8,3.7,4.7,4.2,3.6,3.3,3.2,2.7,MT
1606,Deer Lodge County,6.2     ,4.9     ,4.8,6.7,7.6,6.1,6.2,5.7,5.0,4.5,MT
1607,Fallon County,2.8     ,2.0     ,2.0,2.6,3.2,3.1,2.7,2.1,2.0,1.9,MT
1608,Fergus County,5.2     ,4.2     ,4.0,4.8,5.5,6.4,6.1,5.4,4.9,4.4,MT
1609,Flathead County,4.9     ,3.9     ,4.0,6.7,11.8,12.0,10.9,9.0,7.7,6.5,MT
1610,Gallatin County,3.2     ,2.4     ,2.6,4.2,7.0,6.8,6.0,5.1,4.1,3.5,MT
1611,Garfield County,4.2     ,3.6     ,3.0,3.5,3.7,3.5,3.9,3.1,3.1,2.7,MT
1612,Glacier County,7.8     ,6.8     ,8.0,9.2,9.3,9.8,11.4,9.9,10.1,10.7,MT
1613,Golden Valley County,4.8     ,3.8     ,3.9,5.0,5.2,6.7,5.1,4.6,5.0,4.7,MT
1614,Granite County,6.0     ,4.5     ,4.8,6.7,10.4,9.3,9.2,8.4,7.8,7.0,MT
1615,Hill County,4.5     ,3.9     ,4.1,5.1,5.5,5.8,6.3,5.8,6.6,5.8,MT
1616,Jefferson County,4.2     ,3.6     ,3.1,4.6,6.4,6.3,6.3,5.6,4.9,4.6,MT
1617,Judith Basin County,4.8     ,3.5     ,3.7,4.4,5.3,6.4,6.2,5.2,4.9,4.3,MT
1618,Lake County,5.8     ,4.9     ,5.5,7.5,9.2,9.0,9.2,7.9,6.7,5.8,MT
1619,Lewis and Clark County,4.0     ,3.2     ,3.0,4.2,5.0,5.5,5.3,4.9,4.4,3.7,MT
1620,Liberty County,4.7     ,3.2     ,2.9,4.2,4.3,4.4,4.0,4.2,3.5,3.1,MT
1621,Lincoln County,8.8     ,6.9     ,7.5,10.8,14.8,15.0,14.9,12.6,13.0,11.3,MT
1622,McCone County,3.6     ,2.6     ,2.2,2.8,3.2,2.9,3.0,3.0,2.4,2.4,MT
1623,Madison County,3.7     ,3.1     ,2.9,4.2,6.3,7.6,7.3,6.2,5.5,4.6,MT
1624,Meagher County,4.8     ,4.4     ,5.7,7.0,8.5,8.0,7.5,5.5,5.2,4.3,MT
1625,Mineral County,6.1     ,5.0     ,4.7,7.2,10.5,12.5,12.1,10.8,10.1,9.0,MT
1626,Missoula County,3.9     ,3.2     ,3.4,5.0,6.3,7.3,6.7,5.9,5.2,4.5,MT
1627,Musselshell County,5.6     ,4.0     ,5.4,5.9,6.6,6.9,6.7,5.3,5.0,4.1,MT
1628,Park County,4.2     ,3.3     ,3.5,5.3,8.0,8.8,8.3,6.9,6.3,5.6,MT
1629,Petroleum County,5.3     ,4.4     ,5.1,5.6,5.5,5.4,5.7,4.3,4.7,4.0,MT
1630,Phillips County,4.4     ,3.8     ,4.2,5.1,5.6,6.8,6.9,6.0,5.9,5.4,MT
1631,Pondera County,5.1     ,4.0     ,4.0,5.5,6.3,5.9,6.1,5.0,4.9,4.9,MT
1632,Powder River County,3.9     ,3.2     ,3.2,3.6,4.0,3.7,4.7,3.8,3.3,3.2,MT
1633,Powell County,6.4     ,5.1     ,5.3,7.7,9.1,7.6,7.7,6.6,5.7,5.2,MT
1634,Prairie County,5.1     ,4.0     ,3.5,4.2,4.1,5.1,5.5,4.3,4.6,4.4,MT
1635,Ravalli County,5.2     ,4.2     ,4.5,6.6,9.2,9.4,9.0,7.6,6.8,6.2,MT
1636,Richland County,3.5     ,2.7     ,2.4,3.2,4.7,3.8,3.1,2.8,2.6,2.4,MT
1637,Roosevelt County,6.8     ,6.1     ,6.3,7.4,7.8,6.9,7.1,6.7,5.6,5.3,MT
1638,Rosebud County,6.0     ,5.6     ,5.2,6.3,6.7,7.0,7.3,6.8,6.4,5.7,MT
1639,Sanders County,6.9     ,5.3     ,6.6,10.4,15.6,13.1,13.5,11.6,10.5,9.4,MT
1640,Sheridan County,3.7     ,3.0     ,2.7,3.2,4.3,3.7,3.6,3.0,2.8,2.7,MT
1641,Silver Bow County,4.5     ,3.8     ,3.6,4.9,6.3,6.5,6.6,6.1,5.5,5.0,MT
1642,Stillwater County,3.5     ,2.8     ,3.1,4.4,6.2,5.8,5.2,4.5,4.0,3.8,MT
1643,Sweet Grass County,2.2     ,1.7     ,1.8,2.7,4.6,5.5,4.7,3.9,3.7,3.5,MT
1644,Teton County,3.7     ,3.1     ,3.1,4.2,5.0,6.0,5.7,4.9,4.3,3.8,MT
1645,Toole County,3.4     ,2.8     ,2.5,3.3,4.3,4.6,4.7,4.2,3.9,3.0,MT
1646,Treasure County,4.2     ,3.3     ,3.2,4.2,5.2,5.3,5.6,5.0,4.5,4.2,MT
1647,Valley County,4.2     ,3.3     ,3.5,4.3,5.2,4.9,4.7,4.2,3.8,3.1,MT
1648,Wheatland County,4.3     ,3.0     ,3.4,4.1,5.7,7.9,7.9,6.2,6.2,5.0,MT
1649,Wibaux County,3.7     ,2.8     ,2.7,3.6,4.7,4.2,4.2,3.2,3.4,3.1,MT
1650,Yellowstone County,3.5     ,2.9     ,2.7,3.8,4.9,5.9,5.5,4.6,4.3,3.7,MT
1651,Adams County,3.4     ,2.9     ,2.7,3.1,5.1,4.7,4.3,3.8,3.6,3.4,NE
1652,Antelope County,3.4     ,2.8     ,2.8,3.0,3.7,3.6,3.6,3.2,3.2,2.7,NE
1653,Arthur County,3.9     ,3.5     ,3.8,3.7,5.8,8.0,6.1,6.5,8.1,5.5,NE
1654,Banner County,2.8     ,2.4     ,2.0,2.5,3.4,4.4,4.6,4.6,4.3,3.8,NE
1655,Blaine County,3.9     ,3.0     ,3.8,4.9,5.4,5.0,5.4,5.3,5.1,4.5,NE
1656,Boone County,3.4     ,2.6     ,2.4,2.6,3.4,3.5,3.6,3.1,3.2,2.6,NE
1657,Box Butte County,4.0     ,3.1     ,3.2,3.7,6.6,5.0,4.2,4.0,3.8,3.1,NE
1658,Boyd County,3.6     ,3.2     ,3.0,3.2,3.9,3.9,3.8,3.9,3.5,3.3,NE
1659,Brown County,3.2     ,2.9     ,2.6,2.7,3.1,4.7,4.6,4.1,3.9,3.4,NE
1660,Buffalo County,2.8     ,2.3     ,2.2,2.5,3.6,3.6,3.5,3.3,3.2,2.7,NE
1661,Burt County,4.9     ,4.1     ,4.0,4.2,5.6,5.9,5.7,4.7,4.8,4.3,NE
1662,Butler County,3.6     ,2.7     ,2.5,2.9,4.2,3.9,3.8,3.3,3.3,3.0,NE
1663,Cass County,4.1     ,3.4     ,3.3,3.7,5.2,5.6,5.2,4.6,4.4,3.8,NE
1664,Cedar County,2.7     ,2.3     ,2.4,2.5,3.6,3.6,3.3,2.9,2.9,2.4,NE
1665,Chase County,2.8     ,2.4     ,2.5,2.7,2.9,2.8,2.4,2.4,2.4,2.0,NE
1666,Cherry County,2.4     ,2.2     ,2.2,2.4,2.6,3.0,3.0,2.9,2.8,2.5,NE
1667,Cheyenne County,2.9     ,2.4     ,2.4,2.8,4.4,3.6,3.0,2.8,2.8,2.1,NE
1668,Clay County,3.7     ,3.0     ,2.8,3.2,4.4,4.3,4.1,3.7,3.4,3.3,NE
1669,Colfax County,2.8     ,2.3     ,2.2,2.6,3.7,3.9,3.9,3.5,3.5,2.9,NE
1670,Cuming County,3.0     ,3.1     ,2.7,2.9,3.8,3.7,3.4,3.1,3.1,2.7,NE
1671,Custer County,2.9     ,2.4     ,2.1,2.4,3.3,3.7,3.4,2.9,2.7,2.4,NE
1672,Dakota County,4.7     ,4.1     ,4.0,4.2,6.0,7.3,5.9,5.8,6.1,5.3,NE
1673,Dawes County,3.2     ,2.9     ,2.7,2.9,4.4,4.0,3.9,3.6,3.6,3.1,NE
1674,Dawson County,4.4     ,3.2     ,3.0,4.0,4.6,4.9,5.0,4.4,3.8,3.5,NE
1675,Deuel County,3.1     ,2.7     ,2.9,2.9,3.9,3.9,3.5,3.3,3.3,2.7,NE
1676,Dixon County,3.9     ,3.1     ,3.1,3.2,4.7,4.8,4.5,4.1,3.9,3.4,NE
1677,Dodge County,4.4     ,3.5     ,3.2,3.5,5.0,5.3,4.9,4.5,4.2,3.6,NE
1678,Douglas County,4.5     ,3.5     ,3.4,3.7,5.2,5.1,4.9,4.5,4.2,3.7,NE
1679,Dundy County,4.1     ,3.2     ,2.6,2.9,3.9,3.1,2.9,2.9,2.8,2.3,NE
1680,Fillmore County,3.2     ,2.7     ,2.5,3.0,4.1,3.7,3.5,3.2,3.0,2.4,NE
1681,Franklin County,3.4     ,3.1     ,2.8,3.0,3.9,4.3,4.2,3.6,3.5,3.2,NE
1682,Frontier County,2.5     ,2.2     ,2.3,2.8,3.1,3.8,3.6,3.2,3.4,2.8,NE
1683,Furnas County,3.7     ,3.0     ,3.0,2.9,3.7,3.4,3.6,3.5,3.5,2.9,NE
1684,Gage County,4.4     ,3.8     ,3.6,4.7,6.2,5.8,5.8,4.9,4.6,4.2,NE
1685,Garden County,2.9     ,3.0     ,2.7,3.0,4.3,4.1,3.6,3.2,2.7,2.9,NE
1686,Garfield County,3.0     ,2.6     ,2.5,2.6,2.9,3.1,3.4,3.0,3.2,2.6,NE
1687,Gosper County,3.5     ,2.9     ,3.2,3.2,3.9,3.6,3.5,3.0,3.4,3.0,NE
1688,Grant County,2.6     ,2.2     ,2.6,2.9,3.5,3.8,3.3,3.4,3.3,2.6,NE
1689,Greeley County,3.6     ,3.0     ,2.7,2.9,3.5,3.6,3.8,3.6,3.4,3.2,NE
1690,Hall County,3.8     ,3.1     ,2.8,3.1,4.2,4.6,4.5,4.0,3.7,3.8,NE
1691,Hamilton County,2.7     ,2.3     ,2.2,2.4,3.3,3.8,3.8,3.3,3.1,2.9,NE
1692,Harlan County,3.2     ,2.6     ,2.6,3.1,3.7,3.2,3.2,3.2,3.1,2.7,NE
1693,Hayes County,3.5     ,3.2     ,3.5,3.8,4.1,3.4,3.1,3.0,3.2,2.9,NE
1694,Hitchcock County,3.7     ,3.5     ,2.7,3.4,5.5,5.1,4.9,4.1,4.0,3.6,NE
1695,Holt County,3.1     ,2.7     ,2.6,2.7,3.1,3.6,3.4,3.2,3.1,2.7,NE
1696,Hooker County,3.3     ,2.8     ,2.8,4.3,5.1,5.1,4.7,4.6,4.8,4.2,NE
1697,Howard County,3.6     ,2.9     ,2.8,3.1,3.7,4.4,4.1,3.6,3.6,3.6,NE
1698,Jefferson County,3.8     ,3.2     ,2.7,3.9,4.8,4.7,4.3,3.8,3.8,3.1,NE
1699,Johnson County,3.6     ,3.1     ,2.9,3.2,4.2,4.7,4.8,4.3,4.4,3.9,NE
1700,Kearney County,2.8     ,2.3     ,2.2,2.7,3.9,3.5,3.2,2.9,2.8,2.5,NE
1701,Keith County,3.2     ,2.6     ,2.5,2.9,4.5,4.3,4.1,3.7,3.6,2.9,NE
1702,Keya Paha County,3.4     ,3.0     ,3.7,4.8,4.8,3.5,3.0,3.1,3.3,2.8,NE
1703,Kimball County,2.9     ,2.7     ,2.8,3.4,4.8,4.7,3.6,3.3,3.4,2.6,NE
1704,Knox County,3.4     ,3.0     ,2.9,3.2,3.6,4.1,3.9,3.3,3.5,3.2,NE
1705,Lancaster County,3.5     ,2.8     ,2.8,3.1,4.3,4.2,4.0,3.6,3.4,2.9,NE
1706,Lincoln County,3.5     ,2.8     ,2.6,3.0,4.0,4.5,4.4,3.9,3.7,3.2,NE
1707,Logan County,2.5     ,2.2     ,2.8,2.2,3.1,4.5,3.5,3.0,3.2,3.2,NE
1708,Loup County,4.4     ,3.7     ,4.2,3.8,5.1,5.7,4.7,3.8,4.5,3.7,NE
1709,McPherson County,2.1     ,2.1     ,2.0,2.3,3.8,2.8,2.5,3.6,3.8,2.9,NE
1710,Madison County,4.0     ,3.7     ,3.2,3.3,4.3,4.2,4.1,3.7,3.5,3.0,NE
1711,Merrick County,3.7     ,3.6     ,2.9,3.1,4.2,4.5,4.2,3.7,3.7,3.7,NE
1712,Morrill County,3.1     ,2.6     ,2.6,3.1,4.2,4.1,3.3,3.2,3.2,3.0,NE
1713,Nance County,3.8     ,2.9     ,2.5,3.0,3.3,3.9,3.7,3.3,3.2,2.7,NE
1714,Nemaha County,4.5     ,4.1     ,3.8,4.6,5.2,5.3,5.0,4.8,5.1,4.0,NE
1715,Nuckolls County,3.3     ,2.7     ,2.6,2.9,4.5,4.1,3.6,3.5,3.3,2.9,NE
1716,Otoe County,4.0     ,3.3     ,3.0,3.5,5.0,5.0,5.1,4.5,4.3,3.8,NE
1717,Pawnee County,3.6     ,3.1     ,3.0,3.4,3.7,4.0,3.7,3.3,3.2,2.8,NE
1718,Perkins County,2.5     ,2.2     ,2.4,2.4,3.0,3.3,2.9,2.7,2.5,2.1,NE
1719,Phelps County,2.8     ,2.3     ,2.3,2.4,3.5,3.6,3.6,3.0,3.0,2.7,NE
1720,Pierce County,3.5     ,2.9     ,3.0,3.0,4.0,3.7,3.5,3.3,3.3,2.8,NE
1721,Platte County,3.7     ,2.8     ,2.4,3.0,4.1,4.2,4.2,3.6,3.4,3.0,NE
1722,Polk County,3.2     ,2.8     ,2.8,2.8,3.7,4.0,3.4,3.1,3.4,3.2,NE
1723,Red Willow County,3.5     ,2.7     ,2.5,2.9,4.5,3.7,3.5,3.2,2.9,2.6,NE
1724,Richardson County,4.5     ,4.1     ,4.1,4.4,6.0,6.2,6.0,5.1,5.0,4.1,NE
1725,Rock County,3.0     ,2.3     ,2.6,2.8,3.0,2.8,2.7,2.5,3.0,2.6,NE
1726,Saline County,3.3     ,2.7     ,2.7,3.4,4.6,4.7,4.7,4.3,4.3,3.5,NE
1727,Sarpy County,3.4     ,2.9     ,2.9,3.2,4.6,4.4,4.2,3.9,3.6,3.1,NE
1728,Saunders County,3.9     ,3.1     ,3.1,3.6,5.0,4.8,4.6,4.2,4.0,3.5,NE
1729,Scotts Bluff County,4.2     ,3.3     ,3.0,3.7,5.1,5.5,5.0,4.7,4.2,3.7,NE
1730,Seward County,3.2     ,2.7     ,2.7,3.2,4.1,4.0,3.8,3.5,3.6,3.0,NE
1731,Sheridan County,2.7     ,2.7     ,2.7,2.7,3.9,3.5,3.6,3.6,3.5,3.0,NE
1732,Sherman County,3.8     ,2.8     ,2.7,2.7,3.2,4.0,4.3,3.8,3.3,3.3,NE
1733,Sioux County,2.8     ,2.8     ,2.8,3.4,3.4,3.7,3.4,3.6,3.5,2.8,NE
1734,Stanton County,3.1     ,3.1     ,3.0,2.8,4.1,4.1,3.7,3.5,3.3,2.8,NE
1735,Thayer County,3.0     ,2.6     ,2.7,3.2,4.3,3.8,3.2,3.1,2.9,2.6,NE
1736,Thomas County,3.6     ,3.3     ,3.7,4.0,4.5,4.8,5.2,4.0,3.7,3.5,NE
1737,Thurston County,7.8     ,6.9     ,6.5,6.7,10.5,9.6,10.2,8.6,7.9,6.7,NE
1738,Valley County,3.5     ,2.5     ,2.4,2.8,3.3,4.4,4.0,3.5,3.3,3.0,NE
1739,Washington County,3.3     ,2.9     ,2.8,3.1,4.6,4.6,4.3,3.8,3.7,3.2,NE
1740,Wayne County,3.0     ,2.5     ,2.5,2.9,3.9,3.8,3.4,3.2,3.2,2.8,NE
1741,Webster County,3.6     ,2.6     ,3.3,3.4,3.9,4.8,4.6,3.7,3.8,3.4,NE
1742,Wheeler County,2.8     ,2.4     ,2.9,2.3,3.7,3.9,3.2,3.3,3.2,2.9,NE
1743,York County,2.8     ,2.5     ,2.7,3.7,4.9,4.6,4.3,3.7,3.6,3.1,NE
1744,Churchill County,3.9     ,4.2     ,4.3,6.0,8.6,12.4,12.4,10.9,9.0,7.4,NV
1745,Clark County,4.1     ,4.0     ,4.5,6.6,11.5,13.8,13.3,11.3,9.6,7.8,NV
1746,Douglas County,4.5     ,4.6     ,4.8,7.4,11.5,13.8,13.3,11.5,9.5,7.9,NV
1747,Elko County,3.5     ,3.4     ,3.3,4.3,6.3,7.7,7.3,6.3,6.1,5.5,NV
1748,Esmeralda County,4.6     ,4.1     ,3.2,4.9,7.0,9.2,7.9,6.5,4.8,4.5,NV
1749,Eureka County,3.3     ,3.7     ,4.2,5.2,6.6,7.8,6.9,6.1,6.0,5.9,NV
1750,Humboldt County,3.6     ,3.6     ,3.6,4.9,7.3,8.7,7.8,6.6,6.1,6.1,NV
1751,Lander County,3.6     ,3.9     ,3.2,4.4,5.8,9.5,8.7,7.2,7.1,6.5,NV
1752,Lincoln County,5.0     ,4.5     ,4.2,5.6,8.9,10.6,11.3,10.6,9.5,7.8,NV
1753,Lyon County,5.6     ,5.9     ,6.4,9.8,15.4,17.5,16.8,14.8,12.4,10.1,NV
1754,Mineral County,5.7     ,6.7     ,6.2,7.5,8.6,14.4,14.0,13.5,12.6,11.1,NV
1755,Nye County,5.5     ,5.5     ,6.5,9.7,13.9,17.3,16.9,14.5,11.9,9.5,NV
1756,Pershing County,4.8     ,4.9     ,5.0,7.0,9.7,10.6,10.9,9.8,8.8,7.3,NV
1757,Storey County,4.3     ,4.2     ,4.9,6.9,11.8,16.7,15.8,13.3,11.5,9.0,NV
1758,Washoe County,3.9     ,3.8     ,4.3,6.8,11.1,12.9,12.6,11.0,9.4,7.4,NV
1759,White Pine County,3.9     ,3.7     ,3.6,4.7,6.9,9.2,8.7,7.7,7.1,6.0,NV
